date_requested,from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index,from_uk,to_uk,date_uk,hour_uk,time_uk
2026-06-23,2026-06-23 22:00:00+00:00,2026-06-23 22:30:00+00:00,225,225,high,2026-06-23 23:00:00+01:00,2026-06-23 23:30:00+01:00,2026-06-23,23,23:00:00
2026-06-23,2026-06-23 22:30:00+00:00,2026-06-23 23:00:00+00:00,227,220,high,2026-06-23 23:30:00+01:00,2026-06-24 00:00:00+01:00,2026-06-23,23,23:30:00
2026-06-24,2026-06-23 23:00:00+00:00,2026-06-23 23:30:00+00:00,228,220,high,2026-06-24 00:00:00+01:00,2026-06-24 00:30:00+01:00,2026-06-24,0,00:00:00
2026-06-24,2026-06-23 23:30:00+00:00,2026-06-24 00:00:00+00:00,227,221,high,2026-06-24 00:30:00+01:00,2026-06-24 01:00:00+01:00,2026-06-24,0,00:30:00
2026-06-24,2026-06-24 00:00:00+00:00,2026-06-24 00:30:00+00:00,222,221,high,2026-06-24 01:00:00+01:00,2026-06-24 01:30:00+01:00,2026-06-24,1,01:00:00
2026-06-24,2026-06-24 00:30:00+00:00,2026-06-24 01:00:00+00:00,227,219,high,2026-06-24 01:30:00+01:00,2026-06-24 02:00:00+01:00,2026-06-24,1,01:30:00
2026-06-24,2026-06-24 01:00:00+00:00,2026-06-24 01:30:00+00:00,224,221,high,2026-06-24 02:00:00+01:00,2026-06-24 02:30:00+01:00,2026-06-24,2,02:00:00
2026-06-24,2026-06-24 01:30:00+00:00,2026-06-24 02:00:00+00:00,220,220,high,2026-06-24 02:30:00+01:00,2026-06-24 03:00:00+01:00,2026-06-24,2,02:30:00
2026-06-24,2026-06-24 02:00:00+00:00,2026-06-24 02:30:00+00:00,224,224,high,2026-06-24 03:00:00+01:00,2026-06-24 03:30:00+01:00,2026-06-24,3,03:00:00
2026-06-24,2026-06-24 02:30:00+00:00,2026-06-24 03:00:00+00:00,229,231,very high,2026-06-24 03:30:00+01:00,2026-06-24 04:00:00+01:00,2026-06-24,3,03:30:00
2026-06-24,2026-06-24 03:00:00+00:00,2026-06-24 03:30:00+00:00,228,235,very high,2026-06-24 04:00:00+01:00,2026-06-24 04:30:00+01:00,2026-06-24,4,04:00:00
2026-06-24,2026-06-24 03:30:00+00:00,2026-06-24 04:00:00+00:00,237,242,very high,2026-06-24 04:30:00+01:00,2026-06-24 05:00:00+01:00,2026-06-24,4,04:30:00
2026-06-24,2026-06-24 04:00:00+00:00,2026-06-24 04:30:00+00:00,234,241,very high,2026-06-24 05:00:00+01:00,2026-06-24 05:30:00+01:00,2026-06-24,5,05:00:00
